group,groupLabel,variable,variableLabel,variablePage
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V234,FEB: TOT CLR LARCNY TOTL,102
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V235,FEB:TOT CLR VHC THFT TOT,102
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V236,FEB: TOT CLR AUTO THEFT,102
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V237,FEB:TOT CLR TRCK/BS THFT,102
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V238,FEB:TOT CLR OTH VHC THFT,103
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V239,FEB: TOT CLR ALL FIELDS,103
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V240,FEB: CLR<18 MURDER,103
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V241,FEB: CLR<18 MANSLGHTR,103
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V242,FEB: CLR<18 RAPE TOTAL,103
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V243,FEB: CLR<18 FORCE RAPE,104
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V244,FEB: CLR<18 ATTMPTD RAPE,104
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V245,FEB: CLR<18 ROBBERY TOTL,104
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V246,FEB: CLR<18 GUN ROBBERY,104
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V247,FEB: CLR<18 KNIFE ROBBRY,104
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V248,FEB: CLR<18 OTH WPN RBRY,105
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V249,FEB: CLR<18 STR ARM ROB,105
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V250,FEB: CLR<18 ASSLT TOTAL,105
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V251,FEB: CLR<18 GUN ASSAULT,105
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V252,FEB: CLR<18 KNIFE ASSLT,105
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V253,FEB: CLR<18 OTH WPN ASLT,106
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V254,FEB: CLR<18 HND/FT ASSLT,106
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V255,FEB: CLR<18 SIMPLE ASSLT,106
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V256,FEB: CLR<18 BURGLRY TOTL,106
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V257,FEB: CLR<18 FORC ENTRY,106
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V258,FEB: CLR<18 ENTR-NO FORC,107
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V259,FEB: CLR<18 ATT BURGLARY,107
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V260,FEB: CLR<18 LARCENY TOTL,107
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V261,FEB: CLR<18 VHC THFT TOT,107
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V262,FEB: CLR<18 AUTO THEFT,107
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V263,FEB: CLR<18 TRCK/BS THFT,108
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V264,FEB: CLR<18 OTH VHC THFT,108
VG12F1,FEBRUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V265,FEB: CLR<18 ALL FIELDS,108
VG13F1,FEBRUARY: NUMBER OFFICERS KILLED OR ASSAULTED,V266,FEB: OFFICRS KILL BY FEL,108
VG13F1,FEBRUARY: NUMBER OFFICERS KILLED OR ASSAULTED,V267,FEB: OFFICRS KILL BY ACC,108
VG13F1,FEBRUARY: NUMBER OFFICERS KILLED OR ASSAULTED,V268,FEB: OFFICERS ASSAULTED,109
VG14F1,MARCH: ACCOUNTING VARIABLES,V269,MAR: MONTH INCLUDED IN,109
VG14F1,MARCH: ACCOUNTING VARIABLES,V270,MAR: LAST UPDATE,109
VG14F1,MARCH: ACCOUNTING VARIABLES,V271,MAR: CARD 0 TYPE,110
VG14F1,MARCH: ACCOUNTING VARIABLES,V272,MAR: CARD 1 TYPE,110
VG14F1,MARCH: ACCOUNTING VARIABLES,V273,MAR: CARD 2 TYPE,110
VG14F1,MARCH: ACCOUNTING VARIABLES,V274,MAR: CARD 3 TYPE,110
VG14F1,MARCH: ACCOUNTING VARIABLES,V275,MAR: CARD 4 TYPE,111
VG14F1,MARCH: ACCOUNTING VARIABLES,V276,MAR: CARD 0 P/T,111
VG14F1,MARCH: ACCOUNTING VARIABLES,V277,MAR: CARD 1 P/T,111
VG14F1,MARCH: ACCOUNTING VARIABLES,V278,MAR: CARD 2 P/T,111
VG14F1,MARCH: ACCOUNTING VARIABLES,V279,MAR: CARD 3 P/T,112
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V280,MAR: UNFOUNDED MURDER,112
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V281,MAR: UNFOUNDED MANSLGHTR,112
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V282,MAR: UNFOUNDED RAPE TOTL,112
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V283,MAR: UNFOUNDED FORC RAPE,113
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V284,MAR: UNFOUND ATMPTD RAPE,113
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V285,MAR: UNFOUND ROBBRY TOTL,113
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V286,MAR: UNFOUND GUN ROBBERY,113
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V287,MAR: UNFOUNDED KNIFE ROB,113
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V288,MAR: UNFND OTHR WEAP ROB,113
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V289,MAR: UNFND STRNG-ARM ROB,114
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V290,MAR: UNFOUND ASSLT TOTAL,114
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V291,MAR: UNFOUND GUN ASSLT,114
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V292,MAR: UNFOUND KNIFE ASSLT,114
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V293,MAR: UNFND OTH WPN ASLT,114
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V294,MAR: UNFND HND/FEET ASLT,115
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V295,MAR: UNFND SIMPL ASSAULT,115
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V296,MAR: UNFOUND BURG TOTAL,115
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V297,MAR: UNFOUND FORCE ENTRY,115
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V298,MAR: UNFND ENTRY-NO FORC,115
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V299,MAR: UNFND ATT BURGLARY,116
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V300,MAR: UNFOUND LARCNY TOTL,116
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V301,MAR: UF TOT MTR VHC THFT,116
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V302,MAR: UNFOUND AUTO THEFT,116
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V303,MAR: UF TRUCK/BUS THEFT,116
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V304,MAR: UNFND OTH VHC THEFT,117
VG15F1,MARCH: NUMBER OF UNFOUNDED OFFENSES,V305,MAR: UNFOUND ALL FIELDS,117
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V306,MAR: ACT NUM MURDER,117
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V307,MAR: ACT NUM MANSLGHTR,117
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V308,MAR: ACT NUM RAPE TOTL,117
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V309,MAR: ACT NUM FORC RAPE,118
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V310,MAR: ACT NUM ATMPTD RAPE,118
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V311,MAR: ACT NUM ROBBRY TOTL,118
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V312,MAR: ACT NUM GUN ROBBERY,118
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V313,MAR: ACT NUM KNIFE ROBRY,118
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V314,MAR: ACT NUM OTH WPN ROB,119
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V315,MAR: ACT NUM STR ARM ROB,119
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V316,MAR: ACT NUM ASSLT TOTAL,119
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V317,MAR: ACT NUM GUN ASSAULT,119
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V318,MAR: ACT NUM KNIFE ASSLT,119
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V319,MAR: ACT # OTH WPN ASSLT,120
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V320,MAR: ACT # HND/FEET ASLT,120
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V321,MAR: ACT # SIMPLE ASSLT,120
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V322,MAR: ACT # BURGLARY TOTL,120
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V323,MAR: ACT # FORCE ENTRY,120
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V324,MAR: ACT # ENTRY-NO FORC,121
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V325,MAR: ACT # ATT BURGLARY,121
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V326,MAR: ACT # LARCENY TOTAL,121
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V327,MAR: ACT # VHC THEFT TOT,121
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V328,MAR: ACT # AUTO THEFT,121
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V329,MAR: ACT # TRCK/BUS THFT,121
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V330,MAR: ACT # OTH VHC THEFT,122
VG16F1,MARCH: NUMBER OF ACTUAL OFFENSES,V331,MAR: ACT # ALL FIELDS,122
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V332,MAR: TOT CLR MURDER,122
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V333,MAR: TOT CLR MANSLGHTR,122
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V334,MAR: TOT CLR RAPE TOTAL,122
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V335,MAR: TOT CLR FORC RAPE,123
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V336,MAR: TOT CLR ATMPTD RAPE,123
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V337,MAR: TOT CLR TOTL ROBERY,123
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V338,MAR: TOT CLR GUN ROBBERY,123
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V339,MAR: TOT CLR KNIFE ROBRY,123
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V340,MAR: TOT CLR OTH WPN ROB,124
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V341,MAR: TOT CLR STR ARM ROB,124
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V342,MAR: TOT CLR ASSLT TOTAL,124
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V343,MAR: TOT CLR GUN ASSAULT,124
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V344,MAR: TOT CLR KNIFE ASSLT,124
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V345,MAR:TOT CLR OTH WPN ASLT,125
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V346,MAR: TOT CLR HND/FT ASLT,125
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V347,MAR: TOT CLR SIMPLE ASLT,125
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V348,MAR: TOT CLR BRGLRY TOTL,125
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V349,MAR: TOT CLR FORC ENTRY,125
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V350,MAR: TOT CLR ENTR-NO FRC,126
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V351,MAR: TOT CLR ATT BURGLRY,126
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V352,MAR: TOT CLR LARCNY TOTL,126
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V353,MAR:TOT CLR VHC THFT TOT,126
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V354,MAR: TOT CLR AUTO THEFT,126
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V355,MAR:TOT CLR TRCK/BS THFT,127
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V356,MAR:TOT CLR OTH VHC THFT,127
VG17F1,MARCH: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V357,MAR: TOT CLR ALL FIELDS,127
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V358,MAR: CLR<18 MURDER,127
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V359,MAR: CLR<18 MANSLGHTR,127
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V360,MAR: CLR<18 RAPE TOTAL,128
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V361,MAR: CLR<18 FORCE RAPE,128
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V362,MAR: CLR<18 ATTMPTD RAPE,128
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V363,MAR: CLR<18 ROBBERY TOTL,128
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V364,MAR: CLR<18 GUN ROBBERY,128
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V365,MAR: CLR<18 KNIFE ROBBRY,129
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V366,MAR: CLR<18 OTH WPN RBRY,129
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V367,MAR: CLR<18 STR ARM ROB,129
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V368,MAR: CLR<18 ASSLT TOTAL,129
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V369,MAR: CLR<18 GUN ASSAULT,129
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V370,MAR: CLR<18 KNIFE ASSLT,130
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V371,MAR: CLR<18 OTH WPN ASLT,130
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V372,MAR: CLR<18 HND/FT ASSLT,130
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V373,MAR: CLR<18 SIMPLE ASSLT,130
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V374,MAR: CLR<18 BURGLRY TOTL,130
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V375,MAR: CLR<18 FORC ENTRY,131
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V376,MAR: CLR<18 ENTR-NO FORC,131
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V377,MAR: CLR<18 ATT BURGLARY,131
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V378,MAR: CLR<18 LARCENY TOTL,131
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V379,MAR: CLR<18 VHC THFT TOT,131
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V380,MAR: CLR<18 AUTO THEFT,132
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V381,MAR: CLR<18 TRCK/BS THFT,132
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V382,MAR: CLR<18 OTH VHC THFT,132
VG18F1,MARCH: NUMBEROFCLEARANCES INVOLVINGONLYPERSONSUNDER 18 YEARSOFAGE,V383,MAR: CLR<18 ALL FIELDS,132
VG19F1,MARCH: NUMBER OF OFFICERS KILLED OR ASSAULTED,V384,MAR: OFFICRS KILL BY FEL,133
VG19F1,MARCH: NUMBER OF OFFICERS KILLED OR ASSAULTED,V385,MAR: OFFICRS KILL BY ACC,133
VG19F1,MARCH: NUMBER OF OFFICERS KILLED OR ASSAULTED,V386,MAR: OFFICERS ASSAULTED,133
VG20F1,APRIL: ACCOUNTING VARIABLES,V387,APR: MONTH INCLUDED IN,133
VG20F1,APRIL: ACCOUNTING VARIABLES,V388,APR: LAST UPDATE,134
VG20F1,APRIL: ACCOUNTING VARIABLES,V389,APR: CARD 0 TYPE,134
VG20F1,APRIL: ACCOUNTING VARIABLES,V390,APR: CARD 1 TYPE,134
VG20F1,APRIL: ACCOUNTING VARIABLES,V391,APR: CARD 2 TYPE,134
VG20F1,APRIL: ACCOUNTING VARIABLES,V392,APR: CARD 3 TYPE,135
VG20F1,APRIL: ACCOUNTING VARIABLES,V393,APR: CARD 4 TYPE,135
VG20F1,APRIL: ACCOUNTING VARIABLES,V394,APR: CARD 0 P/T,135
VG20F1,APRIL: ACCOUNTING VARIABLES,V395,APR: CARD 1 P/T,135
VG20F1,APRIL: ACCOUNTING VARIABLES,V396,APR: CARD 2 P/T,136
VG20F1,APRIL: ACCOUNTING VARIABLES,V397,APR: CARD 3 P/T,136
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V398,APR: UNFOUNDED MURDER,136
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V399,APR: UNFOUNDED MANSLGHTR,136
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V400,APR: UNFOUNDED RAPE TOTL,137
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V401,APR: UNFOUNDED FORC RAPE,137
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V402,APR: UNFOUND ATMPTD RAPE,137
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V403,APR: UNFOUND ROBBRY TOTL,137
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V404,APR: UNFOUND GUN ROBBERY,137
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V405,APR: UNFOUNDED KNIFE ROB,138
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V406,APR: UNFND OTHR WEAP ROB,138
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V407,APR: UNFND STRNG-ARM ROB,138
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V408,APR: UNFOUND ASSLT TOTAL,138
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V409,APR: UNFOUND GUN ASSLT,138
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V410,APR: UNFOUND KNIFE ASSLT,139
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V411,APR: UNFND OTH WPN ASLT,139
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V412,APR: UNFND HND/FEET ASLT,139
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V413,APR: UNFND SIMPL ASSAULT,139
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V414,APR: UNFOUND BURG TOTAL,139
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V415,APR: UNFOUND FORCE ENTRY,140
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V416,APR: UNFND ENTRY-NO FORC,140
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V417,APR: UNFND ATT BURGLARY,140
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V418,APR: UNFOUND LARCNY TOTL,140
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V419,APR: UF TOT MTR VHC THFT,140
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V420,APR: UNFOUND AUTO THEFT,140
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V421,APR: UF TRUCK/BUS THEFT,141
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V422,APR: UNFND OTH VHC THEFT,141
VG21F1,APRIL: NUMBER OF UNFOUNDED CRIMES,V423,APR: UNFOUND ALL FIELDS,141
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V424,APR: ACT NUM MURDER,141
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V425,APR: ACT NUM MANSLGHTR,141
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V426,APR: ACT NUM RAPE TOTL,142
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V427,APR: ACT NUM FORC RAPE,142
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V428,APR: ACT NUM ATMPTD RAPE,142
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V429,APR: ACT NUM ROBBRY TOTL,142
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V430,APR: ACT NUM GUN ROBBERY,142
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V431,APR: ACT NUM KNIFE ROBRY,143
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V432,APR: ACT NUM OTH WPN ROB,143
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V433,APR: ACT NUM STR ARM ROB,143
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V434,APR: ACT NUM ASSLT TOTAL,143
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V435,APR: ACT NUM GUN ASSAULT,143
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V436,APR: ACT NUM KNIFE ASSLT,144
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V437,APR: ACT # OTH WPN ASSLT,144
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V438,APR: ACT # HND/FEET ASLT,144
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V439,APR: ACT # SIMPLE ASSLT,144
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V440,APR: ACT # BURGLARY TOTL,144
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V441,APR: ACT # FORCE ENTRY,145
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V442,APR: ACT # ENTRY-NO FORC,145
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V443,APR: ACT # ATT BURGLARY,145
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V444,APR: ACT # LARCENY TOTAL,145
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V445,APR: ACT # VHC THEFT TOT,145
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V446,APR: ACT # AUTO THEFT,146
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V447,APR: ACT # TRCK/BUS THFT,146
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V448,APR: ACT # OTH VHC THEFT,146
VG22F1,APRIL: NUMBER OF ACTUAL OFFENSES,V449,APR: ACT # ALL FIELDS,146
VG23F1,APRIL: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V450,APR: TOT CLR MURDER,146
VG23F1,APRIL: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V451,APR: TOT CLR MANSLGHTR,147
VG23F1,APRIL: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V452,APR: TOT CLR RAPE TOTAL,147
VG23F1,APRIL: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V453,APR: TOT CLR FORC RAPE,147
VG23F1,APRIL: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V454,APR: TOT CLR ATMPTD RAPE,147
